,microsecs,n_reprocessing
874,903,0
1073,873,0
1272,861,0
1743,799,0
2134,863,0
2253,790,0
2345,1190,0
2389,1318,0
2513,1105,0
2640,717,0
2676,829,0
2768,1735,0
2800,914,0
3151,806,0
3270,839,0
3581,757,0
3756,921,0
3891,1532,0
3916,1096,0
3952,1333,0
4135,1025,0
4267,1408,0
4306,949,0
4442,1578,0
4461,1437,0
4486,1241,0
4533,744,0
4673,1611,0
4779,620,0
5007,750,0
5158,852,0
5292,1228,0
5318,1386,0
5359,1535,0
5381,1109,0
5422,1328,0
5472,703,0
5604,1016,0
5640,1077,0
5676,902,0
5712,1558,0
5783,958,0
5905,1032,0
6100,4591,0
6251,1363,0
6306,807,0
6457,648,0
6597,891,0
6625,1169,0
6672,777,0
6831,760,0
6963,1017,0
6991,934,0
7030,632,0
7160,911,0
7216,841,0
7375,964,0
7507,1347,0
7670,1430,0
7729,1359,0
7895,1657,0
7966,922,0
8114,907,0
8134,1081,0
8161,1560,0
8216,1195,0
8377,1504,0
8402,4695,0
8443,1054,0
8463,1024,0
8506,1224,0
8560,833,0
8697,1632,0
8720,957,0
8748,702,0
8795,814,0
8938,698,0
9047,907,0
9106,2641,0
9153,1655,0
9197,994,0
9348,1083,0
9480,1442,0
9508,1304,0
9544,1353,0
9735,1270,0
9776,1406,0
9807,873,0
9953,1025,0
10111,1297,0
10184,1431,0
10198,756,0
10261,1151,0
10412,882,0
10541,1406,0
10572,1213,0
10619,875,0
10751,1268,0
10779,1218,0
10815,1241,0
10843,1316,0
10894,1829,0
10925,733,0
11084,933,0
11222,1488,0
11236,1313,0
11261,1702,0
11319,932,0
11457,1639,0
11494,1158,0
11532,1425,0
11563,1057,0
11576,1504,0
11708,588,0
11771,1424,0
11823,584,0
11854,715,0
11986,1398,0
12025,893,0
12300,1168,0
12336,808,0
12364,1370,0
12383,573,0
12428,1506,0
12466,1439,0
12491,669,0
12530,657,0
12661,492,0
12689,1369,0
12717,1296,0
12745,895,0
12851,2394,0
12955,1169,0
13002,860,0
13137,1733,0
13162,1414,0
13323,1608,0
13529,1572,0
13555,1645,0
13604,840,0
13752,1534,0
13783,1184,0
13934,874,0
14074,2127,0
14094,990,0
14150,1376,0
14193,974,0
14336,909,0
14467,1054,0
14503,1512,0
14523,1242,0
14594,799,0
14710,2472,0
14762,2965,0
14840,955,0
14991,684,0
15123,2113,0
15143,1723,0
15173,1131,0
15205,1365,0
15226,1039,0
15254,1034,0
15280,619,0
15307,864,0
15338,1592,0
15370,1010,0
15398,1203,0
15418,1119,0
15454,1213,0
15513,1174,0
15704,1108,0
15863,887,0
15999,1701,0
16038,1515,0
16082,1250,0
16109,1129,0
16150,1585,0
16175,1471,0
16192,1247,0
16220,812,0
16279,1658,0
16299,1204,0
16346,911,0
16484,1613,0
16506,1361,0
16677,1557,0
16717,687,0
16856,1641,0
16877,968,0
16932,837,0
17066,1906,0
17103,1713,0
17277,1766,0
17300,2097,0
17320,1344,0
17347,882,0
17367,930,0
17402,1443,0
17438,1834,0
17458,1486,0
17492,2246,0
17565,841,0
17841,1248,0
17901,1272,0
17940,825,0
18099,758,0
18247,1497,0
18283,1496,0
18321,1943,0
18346,1448,0
18390,1220,0
18418,935,0
18479,653,0
18611,1469,0
18642,1521,0
18659,846,0
18706,905,0
18838,2902,0
18878,2181,0
18902,1306,0
18930,1415,0
18950,1157,0
18969,669,0
18997,1332,0
19049,1550,0
19060,977,0
19089,1163,0
19116,1587,0
19159,1409,0
19187,1045,0
19215,1544,0
19235,1148,0
19298,863,0
19428,787,0
19457,842,0
19477,1298,0
19529,1118,0
19557,781,0
19584,1065,0
19623,758,0
19762,1030,0
19783,796,0
19823,1170,0
19897,727,0
20029,1093,0
20201,1459,0
20221,976,0
20265,1736,0
20285,1183,0
20319,1407,0
20335,1005,0
20394,833,0
20680,1346,0
20714,1008,0
20745,1494,0
20781,1297,0
20811,1134,0
20854,1024,0
20866,1409,0
20928,834,0
21068,1478,0
21088,972,0
21123,649,0
21311,1537,0
21331,976,0
21353,1293,0
21371,1093,0
21434,590,0
21573,1292,0
21608,1076,0
21627,571,0
21663,1420,0
21682,656,0
21702,2439,0
21722,1171,0
21750,1117,0
21778,1409,0
21798,1109,0
21825,1314,0
21854,1152,0
21876,1712,0
21904,1245,0
21932,1198,0
21969,1289,0
21993,899,0
22056,949,0
22239,1506,0
22355,1679,0
22374,923,0
22405,1444,0
22430,903,0
22449,1189,0
22476,1174,0
22499,6398,0
22551,1231,0
22577,1041,0
22615,1715,0
22654,1022,0
22688,1441,0
22734,888,0
22762,1363,0
22819,1044,0
22965,1669,0
23143,1632,0
23163,1387,0
23335,1350,0
23357,1092,0
23382,963,0
23403,1154,0
23465,622,0
23603,860,0
23631,774,0
23667,889,0
23695,1316,0
23758,732,0
23909,725,0
24041,1258,0
24068,836,0
24091,1391,0
24115,1054,0
24155,1883,0
24203,855,0
24342,1394,0
24373,1273,0
24398,1103,0
24439,1484,0
24497,816,0
24792,943,0
24927,1076,0
24951,1284,0
24990,1131,0
25122,1035,0
25174,974,0
25202,1101,0
25230,923,0
25274,1588,0
25294,1211,0
25314,1232,0
25342,1251,0
25397,967,0
25537,1439,0
25570,1337,0
25601,1073,0
25636,1358,0
25656,1133,0
25697,1430,0
25712,939,0
25743,1430,0
25768,1097,0
25788,1126,0
25815,1145,0
25843,1306,0
25871,1070,0
25902,1399,0
25926,991,0
25954,1581,0
25980,1218,0
26002,1201,0
26044,1479,0
26057,989,0
26228,1475,0
26256,1216,0
26284,1332,0
26447,1199,0
26478,926,0
26617,1201,0
26665,940,0
26805,1162,0
26870,1790,0
26892,1103,0
26919,496,0
26966,1474,0
26996,1681,0
27053,983,0
27233,1584,0
27267,5899,0
27306,888,0
27444,828,0
27463,1171,0
27491,1374,0
27519,1425,0
27547,1148,0
27571,1017,0
27605,806,0
27848,1369,0
27883,1192,0
27902,565,0
27941,763,0
28065,1250,0
28116,1301,0
28151,1516,0
28171,1285,0
28205,1608,0
28232,1693,0
28307,5950,0
28350,1825,0
28497,1071,0
28565,1089,0
28619,1999,0
28660,1212,0
28680,1061,0
28700,1009,0
28753,966,0
28929,811,0
28949,1310,0
28972,603,0
29096,1547,0
29116,1684,0
29135,1021,0
29291,2339,0
29327,1313,0
29363,1252,0
29413,1712,0
29561,985,0
29576,1583,0
29601,1235,0
29874,1747,0
29917,1249,0
29941,1506,0
29968,851,0
30003,735,0
30031,1261,0
30051,1329,0
30095,2596,0
30293,1010,0
30441,1727,0
30464,716,0
30620,1547,0
30651,849,0
30775,1509,0
30794,1480,0
30841,766,0
30970,1512,0
31040,1607,0
31067,1198,0
31129,1312,0
31165,766,0
31297,1380,0
31328,795,0
31443,2320,0
31471,934,0
31491,1401,0
31511,1311,0
31535,1108,0
31558,1824,0
31706,2740,0
31732,1183,0
31777,1258,0
31804,1111,0
31824,1120,0
31856,1759,0
31880,828,0
31916,865,0
31944,1328,0
31956,1492,0
31975,769,0
32002,1010,0
32022,1222,0
32193,1184,0
32213,861,0
32240,758,0
32260,903,0
32432,1105,0
32471,828,0
32594,2226,0
32623,1188,0
32656,1320,0
32724,1639,0
32735,1006,0
32762,1079,0
32801,772,0
32923,1212,0
32952,1090,0
33007,996,0
33145,1095,0
33172,1308,0
33235,873,0
33365,575,0
33392,1149,0
33428,1264,0
33464,1536,0
33612,1773,0
33631,1441,0
33658,1412,0
33679,1479,0
33723,3771,0
33742,1280,0
33763,1338,0
33790,925,0
33801,1029,0
33847,722,0
33971,1446,0
33999,1566,0
34019,1215,0
34087,1291,0
34114,813,0
34142,1171,0
34162,1267,0
34218,1150,0
34247,1693,0
34273,796,0
34327,750,0
34450,942,0
34481,1316,0
34525,705,0
34665,2393,0
34677,1088,0
34728,726,0
34759,716,0
34905,828,0
34941,1043,0
34961,1038,0
35007,798,0
35131,1585,0
35143,1080,0
35170,1367,0
35206,1101,0
35226,1514,0
35245,1002,0
35296,1390,0
35468,1252,0
35544,1781,0
35731,674,0
35775,1244,0
35794,666,0
35838,1289,0
35858,1310,0
35886,1486,0
35906,1384,0
35954,1444,0
35984,1173,0
36012,1212,0
36032,1393,0
36052,1100,0
36193,1773,0
36219,813,0
36273,727,0
36517,1482,0
36544,835,0
36701,1614,0
36728,732,0
36756,1704,0
36939,836,0
37086,1115,0
37125,952,0
37263,1116,0
37288,1138,0
37312,1425,0
37343,1018,0
37370,1497,0
37406,1162,0
37564,1726,0
37625,703,0
37764,878,0
37792,1342,0
37967,964,0
38107,1422,0
38158,1363,0
38170,1123,0
38206,1338,0
38354,1198,0
38366,1425,0
38379,1549,0
38524,802,0
38570,1497,0
38637,1600,0
38800,983,0
38812,1595,0
38840,1547,0
38852,1339,0
38927,694,0
38947,1347,0
38980,1738,0
39014,737,0
39145,1194,0
39173,793,0
39220,1214,0
39245,1431,0
39284,767,0
39434,790,0
39565,604,0
39609,1081,0
39635,1406,0
39647,1493,0
39818,2271,0
39837,1403,0
39857,926,0
39876,785,0
39941,1264,0
40463,883,0
40491,1050,0
40523,1448,0
40569,1465,0
40629,1317,0
40796,1611,0
40821,1549,0
40841,1281,0
40876,1024,0
40887,978,0
40958,756,0
41082,1546,0
41140,1552,0
41304,1542,0
41325,1270,0
41359,1380,0
41386,1125,0
41412,1842,0
41442,1426,0
41456,1115,0
41483,928,0
41510,1242,0
41538,1341,0
41558,1104,0
41586,1120,0
41622,2138,0
41657,1271,0
41717,1393,0
41739,1377,0
41765,1302,0
41792,914,0
41831,878,0
41955,1913,0
42041,2499,0
42184,1075,0
42316,1489,0
42360,1812,0
42404,785,0
42440,1515,0
42459,845,0
42505,1672,0
42554,1495,0
42576,1052,0
42600,1263,0
42619,922,0
42647,1104,0
42659,1448,0
42686,660,0
42722,1397,0
42760,1350,0
42904,1577,0
42929,1488,0
42967,1601,0
42978,1027,0
43004,1516,0
43023,1521,0
43084,972,0
43118,1444,0
43139,1028,0
43177,757,0
43301,1509,0
43313,736,0
43341,987,0
43380,870,0
43504,903,0
43524,878,0
43553,1328,0
43579,1196,0
43623,1311,0
43670,932,0
43817,1493,0
43837,647,0
43876,735,0
43999,845,0
44018,756,0
44037,1065,0
44059,866,0
44117,1480,0
44145,1287,0
44185,867,0
44213,843,0
44284,896,0
44403,759,0
44426,771,0
44437,874,0
44494,1279,0
44530,1539,0
44571,824,0
44851,1554,0
44963,527,0
45017,1031,0
45069,1348,0
45366,1664,0
45398,1117,0
45548,1083,0
45675,1833,0
45692,1340,0
45745,2317,0
45765,1433,0
45784,690,0
45924,1375,0
45952,910,0
46007,911,0
46131,1786,0
46189,1064,0
46336,777,0
46526,796,0
46658,1298,0
46702,1600,0
46722,756,0
46750,1305,0
46808,1213,0
46828,1081,0
46848,1770,0
46859,623,0
46910,1047,0
47081,1066,0
47106,1348,0
47148,807,0
47415,1060,0
47440,1743,0
47463,963,0
47491,1048,0
47514,794,0
47646,1875,0
47665,693,0
47828,1207,0
47855,1013,0
47882,1291,0
47901,695,0
47929,964,0
47944,1443,0
47986,1957,0
48008,1494,0
48149,1728,0
48311,1358,0
48339,3373,0
48364,1245,0
48384,1161,0
48411,1115,0
48438,1477,0
48457,1066,0
48485,2082,0
48521,980,0
48809,1561,0
48832,1149,0
