final_rate,run,nodes,scenario
594.0082245452118,16-02-run1,12,16
791.1794135173567,16-02-run1,12,32
487.54013139056383,16-02-run1,12,4
798.841387292941,16-02-run1,12,8
422.85655723705594,16-02-run1,3,16
414.255626426132,16-02-run1,3,32
253.7572149678744,16-02-run1,3,4
348.6880068394623,16-02-run1,3,8
727.9084231980988,16-02-run1,6,16
668.2676403532904,16-02-run1,6,32
320.41668020680805,16-02-run1,6,4
449.9863748400569,16-02-run1,6,8
902.401194103463,16-02-run1,9,16
864.6181587387565,16-02-run1,9,32
432.2814208765228,16-02-run1,9,4
633.2375004998064,16-02-run1,9,8
952.1704692043462,16-02-run2,12,16
817.1972986961448,16-02-run2,12,32
479.0904503827086,16-02-run2,12,4
747.0509071012599,16-02-run2,12,8
423.4391336447182,16-02-run2,3,16
459.06481156519703,16-02-run2,3,32
253.58514017897716,16-02-run2,3,4
348.5593132970228,16-02-run2,3,8
605.3579626707308,16-02-run2,6,16
747.2376795580293,16-02-run2,6,32
367.23142562095387,16-02-run2,6,4
504.934104988444,16-02-run2,6,8
913.21760412169,16-02-run2,9,16
910.9397914135349,16-02-run2,9,32
495.09614153644515,16-02-run2,9,4
755.1189888147856,16-02-run2,9,8
832.2420552448585,16-02-run3,12,16
833.4223504800694,16-02-run3,12,32
451.7300486598369,16-02-run3,12,4
783.7915383630617,16-02-run3,12,8
395.00609359112826,16-02-run3,3,16
405.14098909864333,16-02-run3,3,32
253.8886780670652,16-02-run3,3,4
348.4422569728919,16-02-run3,3,8
633.5185317062626,16-02-run3,6,16
634.7400253892964,16-02-run3,6,32
367.6891009630888,16-02-run3,6,4
541.4476110408774,16-02-run3,6,8
912.7311330953885,16-02-run3,9,16
787.1645075055156,16-02-run3,9,32
412.63560928358936,16-02-run3,9,4
684.3842797418224,16-02-run3,9,8
1118.0869100046568,17-02-run1,12,16
827.6674783631975,17-02-run1,12,32
368.51398580741204,17-02-run1,12,4
758.3948291621265,17-02-run1,12,8
377.7556778534106,17-02-run1,3,16
386.2427885970447,17-02-run1,3,32
301.986506072409,17-02-run1,3,4
357.9013188055882,17-02-run1,3,8
742.4349922417363,17-02-run1,6,16
560.0693532984078,17-02-run1,6,32
377.6932062761603,17-02-run1,6,4
505.96604908309047,17-02-run1,6,8
839.1178897038288,17-02-run1,9,16
955.8265532629056,17-02-run1,9,32
515.3203277665056,17-02-run1,9,4
606.8392569580263,17-02-run1,9,8
1028.3072745308095,17-02-run2,12,16
755.4230930562702,17-02-run2,12,32
460.15124160819533,17-02-run2,12,4
802.0377166946405,17-02-run2,12,8
433.35283750450265,17-02-run2,3,16
433.0603337734225,17-02-run2,3,32
311.1940162536579,17-02-run2,3,4
366.5539678042769,17-02-run2,3,8
641.0588807504784,17-02-run2,6,16
721.2016933786913,17-02-run2,6,32
368.01092732785656,17-02-run2,6,4
488.1174865832514,17-02-run2,6,8
765.4523568495073,17-02-run2,9,16
949.8274624641934,17-02-run2,9,32
431.9790916244738,17-02-run2,9,4
605.1384480491436,17-02-run2,9,8
1093.6875301062785,18-02-run1,12,16
930.3573333378387,18-02-run1,12,32
470.24643761143267,18-02-run1,12,4
726.6176003890299,18-02-run1,12,8
377.0374723254024,18-02-run1,3,16
385.44861258745163,18-02-run1,3,32
234.89812897892313,18-02-run1,3,4
339.6768779472597,18-02-run1,3,8
667.8353808092007,18-02-run1,6,16
695.0562160320685,18-02-run1,6,32
367.563333571752,18-02-run1,6,4
