final_rate,run,nodes,scenario
329.1515441555513,25-02-run1,3,16
338.61548328121626,25-02-run1,3,32
108.63908700144101,25-02-run1,3,4
186.43504555798086,25-02-run1,3,8
495.68961668168777,25-02-run1,6,16
550.9093161528723,25-02-run1,6,32
99.0635146252028,25-02-run1,6,4
320.2233390248848,25-02-run1,6,8
348.5192019433751,25-02-run2,3,16
356.6745012313352,25-02-run2,3,32
118.51760834542601,25-02-run2,3,4
176.81119923281676,25-02-run2,3,8
542.3042623291792,25-02-run2,6,16
530.8275935277412,25-02-run2,6,32
138.06632912556609,25-02-run2,6,4
329.2086650204184,25-02-run2,6,8
319.43293978317774,25-02-run3,3,16
301.3496696218742,25-02-run3,3,32
98.95647171625538,25-02-run3,3,4
234.38555502244068,25-02-run3,3,8
496.17637504597184,25-02-run3,6,16
596.7834464350856,25-02-run3,6,32
138.12079599626884,25-02-run3,6,4
329.9127071101662,25-02-run3,6,8
347.393868205651,25-02-run4,3,16
357.8688657107245,25-02-run4,3,32
118.49271828268365,25-02-run4,3,4
234.31002381679383,25-02-run4,3,8
515.0173295400123,25-02-run4,6,16
551.5111897996982,25-02-run4,6,32
99.04096303082572,25-02-run4,6,4
310.9865943316658,25-02-run4,6,8
291.7037525204779,25-02-run5,3,16
394.6586394572793,25-02-run5,3,32
128.180005778529,25-02-run5,3,4
205.695603771922,25-02-run5,3,8
493.84621149548127,25-02-run5,6,16
564.5034887520819,25-02-run5,6,32
137.86228318964302,25-02-run5,6,4
244.1303588892733,25-02-run5,6,8
301.04150462355074,25-02-run6,3,16
348.06424134825727,25-02-run6,3,32
128.3189096681063,25-02-run6,3,4
196.28382187856118,25-02-run6,3,8
486.6276332260667,25-02-run6,6,16
541.2078407392839,25-02-run6,6,32
108.5778942429488,25-02-run6,6,4
328.5162180091165,25-02-run6,6,8
329.284108106279,25-02-run7,3,16
347.86671149657445,25-02-run7,3,32
108.81485921884605,25-02-run7,3,4
205.40359311729014,25-02-run7,3,8
487.3514246496378,25-02-run7,6,16
565.5453812169433,25-02-run7,6,32
137.8913938832741,25-02-run7,6,4
329.35372504701564,25-02-run7,6,8
253.8464549900614,26-02-run1,3,16
347.5545897625202,26-02-run1,3,32
98.9493396443845,26-02-run1,3,4
205.30872924033923,26-02-run1,3,8
568.7029116121821,26-02-run1,6,16
603.9060168918057,26-02-run1,6,32
99.01777333444365,26-02-run1,6,4
